"Incident Number","Incident Types","Reported Date","Nearest Populated Centre","Province","Company","Status","Latitude","Longitude","Approximate Volume Released (m3)","Substance","Release Type","Significant","Year","Occurrence Date and Time","Discovered Date and Time","Detailed what happened","What happened category","Detailed why it happened","Why it happened category","Duration of interruption of pipeline operations","Pipeline or Facility Type","Activity being performed at time of incident","How the incident was discovered","Closed Date","Pipeline or facility equipment involved","Rupture","Incident type","Released substance type","Released volume (m3)","Pipe body release","Residual effects on the environment","Source of Explosion","Source of Fire","Activity at time of fatality","Number of fatalities","Type of Injury","Number of individuals injured","Workdays lost","Work restricted by injury","Conditions that resulted in the operation beyond  limits","Conditions that resulted in adverse effects on the environment","Number of people evacuated","Regulation","Pipeline Name","Pipeline outside diameter (NPS)","Pipeline length (km)","Substance carried","Facility Name","Facility Type","Facility latitude","Facility longitude","Country","Affects Company Property","Off Company Property","Affects Pipeline right-of-way","Affects off Pipeline right-of-way","Land Use","Population Density","Kilometre post","Emergency Level","Investigation Type","Was NEB Staff Deployed","Related NEB event number","Equipment or component involved","Design standard","Nominal pipe size","Material","Material grade","Schedule","Design wall thickness (mm)","Custom design wall thickness (mm)","Actual wall thickness (mm)","Licensed maximum operating pressure (kPa)","Restricted operating pressure (kPa)","Actual operating pressure at time of failure (kPa)","Designed depth of cover (m)","Actual depth of cover (m)","Year of manufacture","Year of installation","Year when put into service","Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4)","Weld type ","Seam type","Seam joining method","Seam clock position","Coating location","Coating type","Coating condition","Application method","Year when the coating was applied","Insulation installed","Repair type","Repair date","Equipment or component has never been inspected","Most recent inspection date for the failed equipment or component","Type of most recent inspection","Most recent inspection part of the routine inspection program","No maintenance done on this equipment or component","Date of the most recent maintenance work for the failed equipment or component","Most recent maintenance Type","Most recent maintenance work part of the routine maintenance program"
"INC2008-027","Release of Substance","03/14/2008","Rapid City","Manitoba","TransCanada PipeLines Limited","Closed","50.07673000","-99.99864000","Not Provided","Natural Gas - Sweet","Gas","No","2008","2008/03/14 01:30:00 PM Central","2008/03/14 01:30:00 PM Central","Damage or deterioration mechanism, Cracking, Corrosion Fatigue","Corrosion and Cracking","Job or system factors, Excessive wear and tear, Improper loading or rate of use","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/07/23","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","MLV 30-4","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km) 30-4","Level I","Standard Review - 168 days","No","","Pipeline, Pipe, Body;Station/Facility, Compression, Piping, Weld","","NPS 2","","","","","","","0.0000","","","","","","","","","","","","","","","","","","No","Replacement","","No","","","No","No","","Replacement","No"
"INC2008-030","Fatality","03/24/2008","Kerrobert","Saskatchewan","Enbridge Pipelines Inc.","Closed","51.92095000","-109.17023000","Not Applicable","Not Applicable","Not Applicable","Yes","2008","2008/03/24 09:50:00 AM Mountain","2008/03/24 09:50:00 AM Mountain","Substandard Acts, Failing to use PPE properly;Substandard Acts, Improper position for task;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Inadequate warning system","External Interference, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training","Inadequate Supervision","","Transmission","Maintenance","Employee / Contractor (Onsite)","2010/12/15","No","No","Fatality","","","","No","","","Construction","1","","","","","","","0","OPR","Line 4","1219.00000000, 864.00000000, 914.00000000","1248.90987194","Crude Oil","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-034","Release of Substance","04/01/2008","Haileybury","Ontario","TransCanada PipeLines Limited","Closed","47.44678000","-79.76267000","Not Provided","Natural Gas - Sweet","Gas","No","2008","","2008/03/31 01:17:00 AM Mountain","Damage or deterioration mechanism, Cracking, Fatigue","Corrosion and Cracking","Job or system factors, Inadequate engineering, Inadequate monitoring of construction","Engineering and Planning","","Transmission","Construction","","2012/07/23","No","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","LINE 100-1","508.00000000, 762.00000000, 863.60000000","2595.72453402","Natural Gas","","","","","Canada","No","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Fitting, Other (please explain)","","NPS 1","","","","","","","0.0000","","","","","","","","","","","","","","","","","","No","Replacement","2008-09-21","No","","","No","No","2008-09-21","Replacement","No"
"INC2008-037","Release of Substance","04/18/2008","Kenora","Ontario","TransCanada PipeLines Limited","Closed","49.80823000","-94.18954000","Not Provided","Natural Gas - Sweet","Gas","No","2008","2008/04/16 02:30:00 PM Eastern","2008/04/16 02:30:00 PM Eastern","Damage or deterioration mechanism, Construction, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Personal factors, Abuse or misuse, Improper conduct that is not condoned, Unintentional","Human Factors, Tools and Equipment","","","Maintenance","Employee / Contractor (Onsite)","2012/07/27","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km) 50-2","Level I","Standard Review - 168 days","No","","Pipeline, Fitting, Nipple, Thread","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Replacement","","No","","","No","No","","Replacement","No"
"INC2008-039","Release of Substance","04/21/2008","Regina","Saskatchewan","Plains Marketing Canada, L.P.","Closed","50.48057000","-104.56646000","4.0000","Crude Oil - Sweet","Liquid","No","2008","2008/04/21 07:00:00 AM Mountain","2008/04/21 07:00:00 AM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/07/23","Yes","No","Release of Substance","Crude Oil - Sweet","4.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Legal Subdivision NW-33-17-19 W2","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-040","Release of Substance","04/25/2008","Charlie Lake","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.27973000","-120.96341000","Not Provided","Natural Gas - Sour","Gas","Yes","2008","2008/04/24 07:00:00 PM Pacific","2008/04/24 07:00:00 PM Pacific","Damage or deterioration mechanism, Construction, Defective Other Joint","Defect and Deterioration","Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate communications, Inadequate communication methods ","Failure in communication, Human Factors","","","Operation","Employee / Contractor (Onsite)","2011/01/19","Yes","No","Release of Substance","Natural Gas - Sour","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 24.5","Level I","Standard Review - 168 days","No","","Pipeline, Fitting, Nipple, Body","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Replacement","2008-04-24","No","","","No","No","2008-04-24","Replacement","No"
"INC2008-041","Release of Substance","04/25/2008","Chetwynd","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.33867000","-121.87115000","Not Provided","Natural Gas - Sour","Gas","Yes","2008","2008/04/15 12:00:00 PM Pacific","2008/04/15 12:00:00 PM Pacific","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution","Maintenance","","","Maintenance","Employee / Contractor (Onsite)","2012/08/15","Yes","No","Release of Substance","Natural Gas - Sour","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 12","Level I","Standard Review - 168 days","No","","Pipeline, Valve, Ball, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Replacement","","No","","","No","No","","Replacement","No"
"INC2008-043","Fire","05/01/2008","Cromer","Manitoba","Enbridge Pipelines Inc.","Closed","49.73115000","-101.23550000","Not Applicable","Not Applicable","Not Applicable","No","2008","2008/05/01 02:00:00 PM Mountain","2008/05/01 02:00:00 PM Mountain","Substandard Conditions, Fire and explosion hazards","External Interference","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Maintenance","Employee / Contractor (Onsite)","2012/07/23","No","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","EPI - Cromer Terminal","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mile Post 595.8","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-045","Release of Substance","05/06/2008","Herschel","Saskatchewan","Enbridge Pipelines Inc.","Closed","51.63826000","-108.35440000","9.4000","Crude Oil - Sweet","Liquid","No","2008","2008/05/06 11:45:00 AM Mountain","2008/05/06 11:45:00 AM Mountain","Damage or deterioration mechanism, Construction, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Operation","Employee / Contractor (Onsite)","2012/07/23","Yes","No","Release of Substance","Crude Oil - Sweet","9.4000","No","No","","","","","","","","","","","0","OPR","EPI - Herschel Pump Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mile Post 257","Level I","Standard Review - 168 days","No","","Station/Facility, Pumping, Piping","","NPS 3/4","","","","","","","0.0000","","","","","","","","","","","","","","","","","","No","Replacement","","No","","","No","No","","Replacement","No"
"INC2008-048","Release of Substance","05/12/2008","Regina","Saskatchewan","Enbridge Pipelines Inc.","Closed","50.48386000","-104.61447000","7.0000","Crude Oil - Sweet","Liquid","No","2008","2008/05/11 11:30:00 PM Mountain","2008/05/11 11:30:00 PM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance","","","Operation","Employee / Contractor (Onsite)","2011/08/10","Yes","No","Release of Substance","Crude Oil - Sweet","7.0000","No","No","","","","","","","","","","","0","OPR","EPI - Regina Terminal","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Receiving, Valve, Pressure relief, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Replacement","2008-05-12","No","","","No","No","2008-05-12","Replacement","No"
"INC2008-052","Fire","05/21/2008","Emerson","Manitoba","TransCanada PipeLines Limited","Closed","49.00106000","-97.05547000","Not Applicable","Not Applicable","Not Applicable","No","2008","2008/05/18 01:35:00 PM Mountain","2008/05/18 01:35:00 PM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2009/03/27","Yes","No","Fire","","","","No","","Under Investigation or Unknown","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km)","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Auxiliary power unit","","","","","","","","","0.0000","","","","","","","","","","","","","","","","","","No","Replacement","","No","","","No","No","","Replacement","No"
"INC2008-055","Adverse Environmental Effects","05/31/2008","Fort St. John","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.47564000","-120.37265000","Not Applicable","Not Applicable","Not Applicable","Yes","2008","2008/05/31 01:15:00 PM Mountain","2008/05/31 01:15:00 PM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance","","","Operation","3rd Party / Other Company","2012/11/13","No","No","Adverse Environmental Effects","","","","No","","","","","","","","","","Release of Toxic Substance","0","OPR","N/A","","","","","","","","Canada","Yes","Yes","No","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","Kilometer Post","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-056","Release of Substance","06/05/2008","Edmonton","Alberta","Enbridge Pipelines Inc.","Closed","53.54310000","-113.35401000","8.0000","Crude Oil - Sweet","Liquid","No","2008","2008/06/05 07:20:00 PM Mountain","2008/06/05 07:20:00 PM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Excessive wear and tear, Improper extension of service life","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/07/23","Yes","No","Release of Substance","Crude Oil - Sweet","8.0000","No","No","","","","","","","","","","","0","OPR","EPI - Edmonton Terminal","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","Mile Post 0","Level I","Standard Review - 168 days","No","","Storage, Tank, Aboveground","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Removal","2008-06-05","No","","","No","No","2008-06-05","Repair","No"
"INC2008-057","Release of Substance","06/06/2008","Maple","Ontario","TransCanada PipeLines Limited","Closed","43.87378000","-79.57985000","270.0000","Natural Gas - Sweet","Gas","No","2008","2008/06/06 11:23:00 AM Eastern","2008/06/06 11:23:00 AM Eastern","Damage or deterioration mechanism, Cracking, Corrosion Fatigue","Corrosion and Cracking","Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Standards and Procedures","","","Operation","Employee / Contractor (Onsite)","2012/07/23","Yes","No","Release of Substance","Natural Gas - Sweet","270.0000","No","No","","","","","","","","","","","0","OPR","TCPL - Station 130 (Maple Compressor Station)","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","Kilometer Post","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-058","Adverse Environmental Effects","06/09/2008","Not specified","New Brunswick","Emera Brunswick Pipeline Company Ltd.","Closed","45.21594000","-66.71029000","Not Applicable","Not Applicable","Not Applicable","Yes","2008","2008/06/09 03:20:00 PM Atlantic","2008/06/09 03:20:00 PM Atlantic","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance","","","Construction","Employee / Contractor (Onsite)","2012/07/27","Yes","No","Adverse Environmental Effects","","","","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","No","Yes","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 141+765","Level I","Standard Review - 168 days","No","","Vehicle / mobile equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2008-060","Release of Substance","06/12/2008","Portage La Prairie","Manitoba","TransCanada PipeLines Limited","Closed","49.91204000","-98.51757000","Not Provided","Natural Gas - Sweet","Gas","No","2008","2008/06/12 12:00:00 AM Mountain","2008/06/12 05:20:00 AM Central","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Excessive wear and tear, Inadequate maintenance","Maintenance","","","Operation","Public","2015/07/15","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Valve, Pressure relief, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Rebuilt","2008-06-12","No","","","No","No","2008-06-12","Repair","No"
